location,farm_mw,month,eff_with_cleaning_pct,eff_without_cleaning_pct,efficiency_recovered_pct,kwh_recovered,rm_recovered,carbon_tonnes_avoided,carbon_value_rm
gcc,50,Jan,96,98,-2,-176417,-74095,-103.204,-4128
gcc,50,Feb,88,91,-3,-264625,-111142,-154.806,-6192
gcc,50,Mar,96,84,12,1058500,444570,619.222,24769
gcc,50,Apr,88,77,11,970292,407522,567.621,22705
gcc,50,May,96,70,26,2293417,963235,1341.649,53666
gcc,50,Jun,88,65,23,2028792,852092,1186.843,47474
gcc,50,Jul,96,65,31,2734458,1148472,1599.658,63986
gcc,50,Aug,88,65,23,2028792,852092,1186.843,47474
gcc,50,Sep,96,65,31,2734458,1148472,1599.658,63986
gcc,50,Oct,88,65,23,2028792,852092,1186.843,47474
gcc,50,Nov,96,65,31,2734458,1148472,1599.658,63986
gcc,50,Dec,88,65,23,2028792,852092,1186.843,47474
