location,farm_mw,month,eff_with_cleaning_pct,eff_without_cleaning_pct,efficiency_recovered_pct,kwh_recovered,rm_recovered,carbon_tonnes_avoided,carbon_value_rm
gcc,10,Jan,96,98,-2,-35283,-14819,-20.641,-826
gcc,10,Feb,88,91,-3,-52925,-22228,-30.961,-1238
gcc,10,Mar,96,84,12,211700,88914,123.844,4954
gcc,10,Apr,88,77,11,194058,81504,113.524,4541
gcc,10,May,96,70,26,458683,192647,268.33,10733
gcc,10,Jun,88,65,23,405758,170418,237.369,9495
gcc,10,Jul,96,65,31,546892,229694,319.932,12797
gcc,10,Aug,88,65,23,405758,170418,237.369,9495
gcc,10,Sep,96,65,31,546892,229694,319.932,12797
gcc,10,Oct,88,65,23,405758,170418,237.369,9495
gcc,10,Nov,96,65,31,546892,229694,319.932,12797
gcc,10,Dec,88,65,23,405758,170418,237.369,9495
